años,     Pinar del Rio,Artemisa,La  Habana,Mayabeque,Matanzas,Villa Clara,Cienfuegos,    Sancti  Spíritus,   Ciego de Ávila,   Camagüey,       Las Tunas,    Holguín,   Santiago de Cuba,Guantánamo,  Isla de la Juventud
2011,29,458,876,306,452,72,74,112,246,181,166,257,241,47,49
2012,34,397,369,479,583,91,66,135,272,167,176,209,234,44,48
2013,22,343,867,420,435,99,74,91,265,255,132,219,141,48,55
2014,31,265,683,340,324,62,47,86,229,149,91,150,158,22,36
2015,46,490,1267,575,590,105,79,130,349,282,203,261,264,52,51
2016,47,548,1252,564,619,124,99,123,362,268,144,237,263,53,59
2017,24,110,248,153,122,34,19,45,95,138,107,191,216,75,33
2018,38,536,1111,552,533,80,70,123,232,209,125,231,225,35,57
"2,019",25,484,1093,505,516,90,56,144,305,211,144,206,271,47,68
2020,8,242,727,325,238,92,54,72,146,183,114,158,182,33,39
2021,13,154,1016,195,101,59,32,73,59,131,113,110,93,16,23
2022,18,430,1423,364,278,85,69,126,203,168,132,160,279,34,65