,,,,,,,,,,,,,,,,,
,años,     Pinar del Rio,Artemisa,La  Habana,Mayabeque,Matanzas,Villa Clara,Cienfuegos,    Sancti  Spíritus,   Ciego de Ávila,   Camagüey,       Las Tunas,    Holguín,Granma,   Santiago de Cuba,Guantánamo,  Isla de la Juventud
,2011,38,302,986,258,425,74,79,88,223,191,179,230,0,247,49,40
,2012,32,310,1562,426,505,80,58,120,270,196,205,239,0,233,43,42
,2013,32,355,988,410,421,78,65,95,282,270,157,229,0,160,41,36
,2014,10,241,771,315,304,58,37,70,209,149,123,171,0,191,40,25
,2015,36,479,1282,574,512,106,63,100,322,315,197,274,0,266,52,61
,2016,43,508,1440,529,569,105,105,136,342,291,152,270,0,314,56,44
,2017,20,102,229,121,95,27,12,42,79,122,104,182,0,251,61,27
,2018,29,456,1318,550,474,75,60,106,192,225,134,216,0,248,31,46
,2019,26,458,1286,507,492,108,90,144,288,232,161,253,0,247,56,60
,2022,15,282,852,355,273,85,66,68,185,240,146,165,0,178,20,26
,2021,11,192,1296,232,86,69,39,80,61,153,137,134,0,123,19,18
,2022,17,479,1891,378,296,78,61,157,229,203,158,175,0,258,38,69